Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,10/15,10/16,10/17,10/18,10/19,10/20,10/21,10/22,10/23,10/24,10/25,10/26,10/27,10/28,10/29,10/30,10/31,11/1,11/2,11/3,11/4,11/5,11/6,11/7,11/8,11/9,11/10,11/11,11/12,11/13,11/14,11/15,11/16,11/17,11/18,11/19,11/20,11/21,11/22,11/23,11/24,11/25,11/26,11/27
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",50,49,54,51,56,61,57,57,62,66,70,65,69,70,70,68,67,70,66,65,69,70,65,70,65,63,68,70,70,67,65,61,65,61,64,66,66,68,70,69,70,65,69,68
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",43,45,54,56,59,64,60,61,57,54,54,50,54,57,57,56,57,58,55,57,54,52,52,57,53,48,51,50,47,44,48,43,39,41,42,39,37,36,39,35,38,35,32,31
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",49,51,59,58,53,49,45,50,53,50,55,52,50,54,50,53,51,49,48,52,55,55,57,58,54,51,53,54,58,60,58,56,52,54,54,58,56,57,54,49,50,50,50,47
GEHC,GE HealthCare,Health Care,Health Care Technology,"Chicago, Illinois",47,51,64,68,69,66,66,65,68,63,62,67,68,68,69,69,65,67,70,62,59,54,59,57,55,59,60,65,69,70,70,70,70,70,67,67,62,59,63,66,61,56,56,60
GEN,Gen Digital,Information Technology,Application Software,"Tempe, Arizona",52,48,45,46,50,46,42,41,43,46,46,41,41,40,45,45,44,42,37,40,43,40,41,38,39,44,39,36,38,40,43,40,38,39,36,32,30,30,34,35,30,30,31,30
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",57,54,45,41,38,42,43,43,43,44,45,41,45,49,46,41,42,41,37,37,38,35,32,30,30,30,30,30,30,35,31,30,33,30,32,30,30,33,30,30,30,30,30,30
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",44,44,38,39,43,45,46,46,45,43,40,39,38,42,47,47,46,45,42,38,33,32,36,36,38,43,44,39,35,34,33,35,34,37,33,35,37,36,37,40,45,42,46,48
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",50,48,59,55,55,52,47,42,41,37,32,32,30,31,30,31,35,32,34,30,34,38,33,38,42,40,35,40,41,44,41,43,40,42,45,40,44,42,41,36,35,31,31,30
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",46,41,46,47,51,52,48,50,46,41,44,46,43,44,49,47,51,50,52,50,52,51,53,49,48,44,40,45,49,50,52,56,53,48,49,46,41,42,46,48,48,51,50,55
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",58,57,45,45,47,49,53,54,53,54,53,57,57,54,51,55,50,50,53,45,44,48,48,50,48,43,41,38,38,39,35,37,41,38,39,40,43,46,51,55,58,56,58,56
GPC,Genuine Parts Company,Consumer Discretionary,Automotive Parts & Equipment,"Atlanta, Georgia",47,47,55,57,62,63,58,56,59,57,56,60,56,57,55,58,63,67,62,67,70,69,69,65,64,65,65,70,70,67,70,70,70,70,70,70,65,65,65,68,69,69,65,63
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",44,42,53,54,56,61,56,54,56,53,58,61,58,54,55,51,53,49,52,44,42,43,38,41,43,44,48,46,46,43,45,46,43,39,44,46,44,40,37,33,36,37,37,34
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",49,47,46,49,51,46,47,46,45,43,47,42,40,37,32,34,34,38,36,41,38,37,39,37,35,39,42,39,40,37,34,37,34,33,34,33,35,31,32,31,30,35,31,36
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",44,48,44,49,54,56,51,56,60,55,53,58,54,49,51,50,45,42,39,43,43,43,48,47,43,45,49,50,53,55,56,58,62,58,54,56,56,60,61,57,53,48,51,50
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",47,44,58,62,61,63,58,61,59,63,68,65,69,70,70,70,70,67,67,70,67,70,66,62,66,65,67,70,70,70,70,67,70,70,68,70,69,70,66,69,70,70,69,70
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",42,45,50,50,47,47,44,43,39,34,34,32,35,35,32,30,30,30,30,31,34,30,33,32,30,30,30,30,34,36,36,38,42,43,44,43,39,40,36,38,39,34,31,35
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",42,42,61,66,65,68,66,70,70,70,70,70,70,65,66,62,62,59,59,54,56,61,62,66,70,69,70,70,70,70,70,65,66,63,64,65,70,70,70,70,65,64,66,65
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",54,55,53,57,60,62,67,70,70,65,69,66,65,64,65,60,64,69,70,70,66,66,70,70,69,70,70,70,66,69,70,70,70,66,69,70,70,68,69,65,62,61,58,63
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",55,54,42,43,41,37,32,31,30,33,30,30,33,37,33,38,35,30,30,30,30,33,38,34,32,35,37,38,40,44,48,46,44,41,38,35,38,39,40,41,39,44,49,44
PEAK,Healthpeak,Real Estate,Health Care REITs,"Long Beach, California",56,60,46,43,48,53,57,55,55,60,61,57,62,64,66,69,66,67,63,70,70,70,70,70,67,64,61,64,67,69,70,70,70,69,68,66,67,63,66,65,60,56,61,62
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",55,58,45,41,36,40,37,37,37,38,42,45,49,46,41,41,41,46,46,53,52,48,51,51,54,54,49,46,47,51,49,54,59,64,59,63,61,60,56,53,51,51,47,44
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",56,55,65,63,59,55,58,53,52,56,58,62,59,63,59,56,53,55,51,61,56,61,57,59,63,60,61,64,60,65,63,65,70,70,70,70,70,70,70,70,70,65,63,64
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",45,46,49,52,53,52,50,45,42,42,46,48,49,44,40,44,49,53,55,59,57,53,57,62,67,63,60,63,65,67,63,61,59,63,65,62,64,62,67,69,70,70,70,68
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",57,53,55,55,53,56,57,53,54,52,53,51,55,50,50,51,48,43,45,40,37,37,33,37,38,34,39,40,36,31,36,41,46,43,46,49,45,43,38,35,30,30,30,30
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",45,40,61,60,65,69,68,69,68,69,68,67,64,64,67,66,62,59,55,60,55,53,56,61,60,63,64,62,57,62,60,61,65,60,60,56,57,59,61,62,60,57,61,61
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",56,53,43,41,38,39,44,48,47,45,40,41,43,48,45,48,48,43,41,49,47,50,55,58,58,53,57,52,57,53,49,47,43,42,41,43,44,44,48,51,48,48,51,56
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",40,43,53,52,50,47,42,43,38,39,39,44,40,44,39,38,37,37,38,36,32,30,34,34,35,40,39,34,30,33,36,32,35,38,42,37,35,37,40,40,42,41,40,40
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",42,47,57,59,54,59,60,64,67,66,62,61,66,64,62,61,66,61,63,55,52,54,53,48,49,52,54,50,49,54,49,46,48,51,49,49,48,45,48,49,49,45,44,43
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",53,53,54,52,47,47,48,52,48,45,43,39,39,36,35,30,35,39,43,36,41,41,44,41,41,44,41,46,44,46,47,47,44,45,49,54,54,59,58,58,62,62,58,59
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",44,40,35,31,34,31,33,35,30,35,32,37,40,41,46,46,44,43,44,40,39,40,43,38,35,30,32,34,31,32,31,30,30,35,40,39,40,36,36,33,30,35,32,30
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",44,40,62,57,55,52,52,50,51,49,52,55,60,60,65,70,70,70,70,70,70,70,70,70,68,70,70,70,69,64,65,61,64,66,68,70,70,70,70,66,69,66,67,67
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",53,55,40,45,49,46,49,47,44,46,45,50,49,54,59,60,62,59,59,60,57,53,53,58,62,61,64,60,63,60,57,61,64,61,63,62,64,69,70,65,60,62,65,66
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery,"Shelton, Connecticut",44,46,54,56,59,58,61,59,60,65,61,57,53,56,51,48,43,41,43,48,43,40,39,39,44,43,40,41,38,39,42,40,41,45,41,43,44,47,45,50,51,47,47,48
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",60,57,38,37,36,36,34,30,30,30,30,30,30,30,31,30,35,35,30,35,38,38,33,34,31,36,33,30,31,30,30,30,30,32,30,34,39,42,41,46,51,49,52,48
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",40,37,51,47,49,48,50,54,49,47,45,48,44,44,49,54,54,50,51,49,51,48,53,57,62,57,59,59,59,60,59,57,55,56,56,55,50,47,46,42,38,42,39,35
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",51,54,62,63,60,56,55,52,55,54,54,52,53,48,43,45,45,46,43,45,50,47,46,47,42,43,45,41,39,39,42,46,51,47,44,42,46,44,41,39,35,34,30,32
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",49,51,51,49,50,52,49,52,55,51,54,51,54,59,54,50,47,46,50,49,54,55,50,48,53,48,45,47,42,38,34,37,36,40,41,39,42,38,37,37,39,34,34,34
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",58,59,49,54,49,54,51,49,47,48,51,48,48,51,56,57,62,60,57,57,53,58,60,55,54,53,49,53,55,60,56,59,55,53,58,59,62,57,52,55,51,50,49,49
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",52,47,50,45,47,43,38,38,39,43,39,36,39,43,40,45,44,42,43,41,44,46,45,47,50,48,52,56,54,52,53,48,50,49,50,54,54,59,58,63,60,59,61,61
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",41,37,49,46,50,53,52,51,51,49,54,54,54,57,62,66,61,65,66,70,70,70,70,70,66,68,70,70,68,64,69,64,64,61,62,65,61,66,64,69,65,70,70,65
ILMN,Illumina,Health Care,Life Sciences Tools & Services,"San Diego, California",59,57,44,40,35,38,36,36,39,44,39,36,34,38,39,37,38,35,31,38,40,39,42,38,42,47,52,52,53,54,53,48,48,50,49,48,46,44,48,48,46,47,43,47
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",55,53,59,58,58,58,57,58,62,60,56,55,59,54,54,50,47,42,41,50,52,49,47,48,45,48,46,48,52,55,54,58,53,54,59,61,57,58,60,62,62,67,70,70
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",42,37,60,59,59,59,60,64,69,70,67,64,68,70,67,68,69,70,67,70,65,69,66,69,69,66,64,63,59,56,60,59,60,61,59,54,58,60,64,63,62,67,69,70
PODD,Insulet,Health Care,Health Care Equipment,"Acton, Massachusetts",44,46,53,58,59,58,56,56,51,56,52,55,57,57,58,53,57,58,61,61,60,65,62,67,65,63,66,63,64,63,64,59,61,66,63,60,59,55,53,51,56,52,48,47
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",52,53,64,62,67,66,69,70,70,70,69,65,66,65,66,69,64,64,63,66,63,59,56,57,53,53,49,52,56,51,51,51,50,55,54,55,51,49,45,45,47,51,56,58
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",55,60,65,61,58,58,59,56,53,48,52,57,52,56,61,65,65,67,70,69,68,70,69,70,70,67,68,70,70,65,65,61,59,63,64,66,63,62,60,64,66,63,60,60
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",42,46,42,38,38,38,36,32,36,32,32,30,30,31,36,32,30,30,30,37,33,30,35,34,38,37,39,36,37,36,33,37,42,39,35,39,42,37,36,37,38,40,38,37
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",42,41,42,40,37,34,33,37,32,30,34,31,31,30,30,30,35,33,34,39,36,37,37,40,39,44,47,47,42,46,50,45,47,46,44,49,49,54,50,50,51,47,46,45
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",51,55,63,59,61,56,58,57,55,55,59,57,56,58,58,56,60,64,64,67,68,70,70,68,64,63,61,61,56,61,58,58,53,52,52,53,57,62,66,68,70,70,67,64
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",48,49,52,57,53,54,57,61,66,65,69,66,68,70,65,66,62,64,61,64,66,68,65,67,62,61,64,68,70,70,67,62,65,67,62,61,66,67,67,65,68,70,65,67
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",49,47,47,49,47,50,51,52,50,49,53,54,50,55,55,50,54,52,57,59,62,60,55,60,55,50,55,56,53,55,53,50,48,51,46,48,43,47,45,47,45,50,53,53
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",41,38,55,55,60,65,64,62,65,66,61,63,65,65,66,69,70,70,70,70,68,67,65,60,63,65,67,66,64,66,61,59,64,64,66,64,68,63,68,69,70,69,67,68
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",51,51,42,40,35,33,37,36,31,34,34,33,37,38,42,47,47,50,47,45,46,44,49,44,44,46,51,53,57,62,57,59,56,52,47,42,39,35,36,31,34,33,32,34
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",60,55,59,59,55,60,59,63,66,63,64,60,61,56,55,59,61,64,66,63,64,69,70,70,70,68,68,66,70,70,70,70,68,70,69,65,70,66,64,59,63,66,68,68
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts",50,51,64,65,69,70,70,67,65,69,65,69,70,70,70,68,70,68,69,70,70,70,65,65,66,64,69,70,70,70,70,69,64,59,61,63,64,60,56,57,53,53,50,48
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",44,46,68,68,69,64,65,65,67,69,70,70,70,70,67,68,70,67,68,60,57,62,67,70,70,70,70,70,70,70,69,67,69,64,60,55,58,57,58,61,63,58,54,49
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",54,59,54,52,52,56,60,57,55,54,51,49,47,49,52,47,44,44,49,47,46,43,48,51,46,49,53,48,44,44,47,43,47,48,46,48,52,55,53,56,51,53,58,63
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",42,42,58,54,52,56,60,60,61,62,57,54,50,50,47,47,47,49,53,46,46,41,39,42,38,42,44,43,47,48,46,49,47,46,45,50,48,47,51,56,57,55,53,58
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",44,41,52,57,53,56,53,55,60,60,56,60,62,59,63,66,68,68,67,64,62,60,55,59,61,62,64,63,64,68,63,61,60,59,57,53,52,47,47,43,47,52,51,47
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",57,61,52,50,49,47,48,46,50,50,47,43,47,52,51,51,51,46,41,51,52,56,61,65,68,69,70,70,70,67,66,61,57,61,61,66,70,69,66,66,70,66,62,67
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",40,42,51,56,57,57,59,64,67,70,68,65,63,60,61,66,63,64,69,62,57,56,61,60,60,58,59,56,57,59,56,52,50,55,53,54,59,62,64,62,67,69,67,62
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",43,40,50,51,49,50,51,51,50,53,52,57,53,51,52,48,51,54,58,59,58,57,62,59,62,64,65,60,62,59,63,58,55,59,63,59,55,54,55,59,62,60,65,66
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",52,55,35,30,30,30,35,33,30,30,35,36,39,39,39,41,40,42,38,35,36,41,45,46,50,53,55,54,58,54,51,50,47,44,41,40,40,39,42,45,45,47,47,43
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",54,54,50,46,49,53,48,45,45,49,47,42,44,48,44,49,46,47,52,48,51,47,42,47,45,40,39,43,43,45,50,50,47,44,43,43,44,48,45,42,40,44,46,47
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",60,56,45,41,42,40,44,45,46,45,40,39,42,37,41,40,45,45,43,46,51,54,56,57,55,59,55,56,52,48,43,47,43,40,35,30,35,38,36,31,36,39,40,45
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",59,63,63,60,62,64,66,62,64,62,63,65,66,70,69,68,70,65,61,60,64,65,68,70,70,70,68,63,58,54,49,52,48,52,57,58,53,58,60,58,61,66,64,64
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",50,51,49,44,49,47,47,44,41,45,50,50,47,49,53,55,52,54,59,52,48,52,49,49,50,46,42,37,37,34,39,41,37,32,31,30,33,31,34,38,42,42,46,46
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",53,48,35,38,33,32,35,38,38,34,34,31,31,33,36,32,31,30,34,35,30,34,35,35,38,35,30,35,30,30,32,35,32,36,34,34,31,33,37,38,33,34,37,35
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",57,55,66,70,70,66,64,67,68,66,65,66,70,70,70,70,67,70,68,70,66,69,70,70,66,69,65,64,59,64,62,60,64,65,60,64,69,64,68,67,69,69,67,66
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",41,39,59,57,55,58,57,59,56,60,59,62,65,67,68,69,70,70,67,70,70,68,63,59,62,64,65,67,65,66,63,67,64,60,61,57,61,56,54,52,48,51,51,49
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",56,60,53,51,56,61,61,66,65,64,64,64,62,58,59,62,58,56,51,48,53,58,53,53,49,53,49,45,41,43,45,40,45,48,53,49,45,49,53,48,47,51,52,57
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",49,44,46,48,43,48,51,52,50,54,56,56,52,53,55,57,58,57,58,56,61,64,69,70,70,65,69,70,65,66,66,62,62,66,65,65,62,64,67,65,67,67,66,70
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",53,52,58,63,58,59,63,68,65,64,62,66,63,63,64,64,65,68,63,63,61,59,62,64,65,67,68,67,63,61,64,59,60,65,67,67,67,68,70,65,69,64,60,63
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",53,53,49,48,46,48,43,38,38,38,41,39,38,34,31,30,31,33,30,30,31,30,30,34,35,40,40,40,44,41,44,46,46,42,37,38,41,36,34,33,33,33,36,37
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",40,41,43,46,43,41,45,44,47,50,46,44,49,49,53,57,55,51,50,49,45,45,45,50,53,50,47,45,40,40,42,41,38,42,43,48,48,44,43,45,46,50,47,52
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",53,53,65,65,60,58,63,60,55,57,59,56,52,48,53,57,53,58,57,57,54,55,51,55,54,56,60,58,55,58,63,58,56,54,54,51,56,60,60,56,58,63,58,62
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",46,51,55,55,60,56,61,56,56,51,53,51,56,55,60,60,60,63,59,65,66,70,65,62,63,62,61,57,58,60,64,69,70,67,70,70,70,70,68,67,66,66,62,60
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",58,60,58,59,62,57,52,53,53,48,48,51,51,50,53,51,46,48,53,39,39,42,40,43,48,45,43,47,50,55,54,58,62,61,64,64,64,65,68,70,70,65,68,70
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",43,39,50,55,59,57,59,55,57,62,58,59,57,58,58,58,63,59,63,61,63,65,62,65,60,63,59,59,60,58,57,59,60,55,52,52,48,44,42,41,40,43,48,50
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",56,61,60,65,67,70,70,66,64,66,70,70,67,69,70,65,66,63,59,65,69,67,64,64,64,61,57,61,66,63,60,56,52,48,49,45,47,43,47,49,53,57,62,63
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",40,41,48,48,49,54,51,54,58,54,54,49,51,55,52,56,57,53,51,52,50,46,43,47,46,41,36,32,32,36,37,42,38,35,36,36,37,40,44,43,38,39,38,43
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",54,50,50,53,54,51,48,43,39,34,31,30,30,30,30,30,35,35,35,34,36,41,45,45,49,54,52,57,54,53,50,49,48,44,45,43,40,42,43,44,47,52,47,52
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",57,58,38,42,47,48,47,44,43,39,38,38,37,34,38,39,35,31,35,35,39,34,39,37,36,38,37,38,41,38,36,34,36,33,32,31,30,30,30,33,32,36,32,35
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",58,54,63,63,66,67,68,70,70,70,70,65,64,59,64,60,55,50,55,56,56,51,56,61,58,54,50,53,49,51,50,46,46,50,50,52,47,45,49,50,53,57,56,56
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",52,57,44,41,37,41,44,39,37,36,33,30,30,35,38,33,32,30,31,30,30,32,37,40,43,44,45,45,40,37,34,37,37,34,35,32,30,30,30,30,35,37,41,40
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",57,58,51,46,47,49,47,49,52,54,49,48,48,51,52,53,48,49,50,44,49,49,53,54,59,54,52,51,50,54,51,55,60,59,58,54,52,52,51,47,48,53,51,53
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",43,44,49,52,53,49,52,50,49,45,42,39,34,38,33,30,32,31,31,34,38,38,42,40,37,39,40,44,48,47,52,51,55,58,61,57,54,52,48,48,50,51,50,49
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",59,56,37,33,33,37,37,38,33,30,30,30,35,38,33,31,36,33,37,33,35,30,32,30,35,36,41,38,34,33,30,33,30,30,32,34,34,35,36,31,35,34,32,33
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",49,48,56,56,51,51,46,42,46,43,38,33,32,34,36,40,42,40,35,42,44,46,48,49,46,46,45,41,44,42,40,45,48,53,58,53,56,58,54,55,54,58,55,59
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",55,52,41,46,44,42,39,41,42,44,41,43,45,49,54,56,55,57,54,64,63,58,58,53,54,52,50,55,58,60,65,63,65,61,63,66,65,61,62,62,66,64,64,63
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",40,40,52,49,49,48,44,47,45,41,41,45,43,41,41,43,47,45,41,50,54,49,50,53,56,58,53,55,56,55,50,53,55,50,55,53,56,56,54,53,49,50,54,53
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",49,51,62,61,57,59,54,56,54,58,58,56,55,58,58,59,54,56,60,56,53,54,56,59,64,64,66,68,66,61,63,58,62,58,54,50,47,42,41,37,35,30,30,31
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",48,51,60,64,69,70,65,67,70,67,66,70,70,70,70,65,63,66,61,64,68,69,65,62,62,58,61,59,61,62,60,65,63,68,70,70,70,67,62,66,67,70,70,69
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",50,47,51,46,45,50,49,49,54,51,51,54,55,53,49,47,44,49,46,51,50,51,48,50,48,45,44,39,43,40,45,48,44,42,44,43,47,51,53,58,63,58,56,52
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",56,55,48,43,47,47,44,42,37,38,42,41,41,37,37,34,35,37,32,39,44,45,49,46,43,41,46,47,43,43,41,41,45,41,36,40,36,41,46,42,44,43,38,41
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",46,43,58,53,57,56,53,48,49,52,57,53,58,62,63,66,68,65,61,62,66,70,70,70,70,70,70,67,69,69,70,70,69,70,69,68,63,65,69,69,70,66,65,67
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",58,57,43,48,45,41,45,46,48,53,52,52,55,55,56,56,61,64,60,62,57,54,53,50,50,49,48,47,45,42,40,44,42,43,42,46,49,53,58,54,49,53,53,51
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",41,38,58,60,60,56,55,53,58,53,49,53,52,52,50,46,50,52,55,51,47,44,49,52,54,57,58,63,58,60,65,70,70,69,70,70,69,70,70,70,70,67,70,70
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",54,49,60,60,65,69,70,70,66,69,70,70,70,66,62,67,63,63,65,58,62,62,62,64,68,70,70,67,63,66,65,69,66,66,70,70,68,68,70,70,70,70,70,70
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",45,46,41,40,41,44,42,43,45,45,44,40,39,35,37,36,34,33,36,32,34,38,33,32,35,38,37,40,40,35,37,40,37,41,44,49,51,47,51,54,49,53,54,51
MCK,McKesson,Health Care,Health Care Distributors,"Irving, Texas",52,56,57,59,62,58,53,55,55,60,57,61,57,54,49,48,48,52,56,51,56,60,55,51,53,48,45,42,37,37,39,42,47,42,46,46,48,48,48,50,53,51,56,58
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",57,61,49,44,45,42,43,39,44,42,38,35,36,32,30,30,30,32,36,35,36,32,36,37,33,33,34,30,31,32,33,30,32,36,35,31,30,35,40,44,39,44,49,53
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",55,60,39,37,32,37,35,30,30,32,33,30,30,30,33,38,42,46,45,54,59,61,60,63,62,58,62,61,57,56,51,52,54,50,46,44,42,46,44,42,40,40,36,34
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",54,56,49,48,47,48,51,52,48,52,48,46,42,38,33,38,40,39,41,35,32,30,32,30,30,30,32,36,34,39,39,37,36,35,37,36,36,31,33,37,37,41,42,38
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",41,45,53,58,54,58,58,59,60,65,64,65,62,62,57,61,63,64,67,68,66,69,70,70,70,67,66,62,58,57,58,58,60,62,62,58,62,66,66,61,58,53,48,50
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",46,49,50,53,49,49,47,48,50,50,51,54,53,51,46,50,53,57,62,57,54,54,57,53,58,61,59,59,58,61,65,67,70,70,70,67,63,64,60,58,63,65,60,63
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",53,51,46,51,46,51,56,58,61,56,57,59,55,52,57,60,61,65,60,63,60,55,53,53,49,48,45,47,50,49,52,48,50,51,52,51,54,53,55,53,52,47,45,48
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",53,53,44,45,45,44,40,43,40,37,36,32,30,30,32,37,41,42,42,44,40,36,31,30,34,30,30,31,35,39,41,38,33,30,30,30,30,35,36,41,42,39,38,39
